Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2019-09-05,1361.95,1372.95,1356.05,1369.35,291419.0,0.6,1360.7700000001337,1366.1781818182194,1345.47,22.0,0.63,1355.7200000000485,1359.79999999984,0.0,0.0,1369.35,1327.35,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2019-09-06,1370.1,1376.85,1359.35,1372.15,182002.0,0.2,1367.6199999998757,1365.839999999972,1348.01,23.0,0.61,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Up,
2019-09-09,1374.0,1380.5,1366.1,1374.7,210738.0,0.2,1377.8199999997323,1365.4636363636275,1350.55,24.0,0.6,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2019-09-11,1379.0,1382.95,1366.0,1374.9,386590.0,0.0,1377.1199999999544,1369.668181818229,1352.87,25.0,0.59,0.0,0.0,1377.8199999997323,1380.749999999961,,,0.0,,0.0,0.0,Price_Crs_Abv_Prev_Sup,Close_GT_20EMA,Reg5_Abv_Reg10,
2019-09-12,1374.0,1388.65,1365.1,1371.45,447645.0,-0.3,1373.9000000001088,1370.4054545454628,1354.64,26.0,0.54,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Prev_Sup,Close_GT_20EMA,Reg5_Abv_Reg10,
2019-09-13,1374.9,1381.0,1365.6,1377.5,374292.0,0.4,1375.630000000056,1374.5545454545104,1356.82,27.0,0.54,1373.9000000001088,1355.7200000000485,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2019-09-16,1364.0,1365.0,1335.65,1359.15,513106.0,-1.3,1365.8400000000634,1371.5709090909581,1357.04,28.0,0.43,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Down,
2019-09-17,1356.4,1356.4,1316.0,1322.3,730346.0,-2.7,1337.559999999925,1357.385454545462,1353.73,0.0,0.23,0.0,0.0,0.0,0.0,,1327.35,0.0,,-3696.0,116987.59261199993,0.0,Cross_Blw_20EMA,Reg5_Blw_Reg10,
2019-09-18,1307.2,1325.5,1292.0,1309.75,1262241.0,-0.9,1312.3099999999904,1336.0763636363608,1349.54,0.0,0.05,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2019-09-19,1305.0,1311.8,1292.05,1294.55,298617.0,-1.2,1289.5900000000365,1314.038181818145,1344.31,0.0,-0.13,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
